id,humedadtechoparedes,goteras,fallatuberias,inundacion
1665,t,t,f,f
1666,t,f,f,f
1667,t,f,f,f
1668,t,t,f,f
1681,f,f,f,f
1682,f,f,f,f
1686,f,f,f,f
1687,,t,,
1688,t,t,f,f
1689,t,t,f,f
1690,t,f,f,f
2136,f,f,f,f
2137,t,t,f,t
2711,f,f,f,f
2712,t,f,f,f
2721,t,f,f,f
2722,f,f,f,f
2723,t,f,f,f
2724,t,f,f,f
2954,t,f,f,f
2955,f,f,f,f
2956,f,f,f,f
2957,t,f,f,f
2958,t,t,f,t
2959,t,t,f,f
3891,f,f,f,t
3894,t,t,f,f
3895,f,f,f,f
3897,f,f,f,f
4289,f,f,f,f
5005,t,f,f,f
5006,f,f,f,f
5007,t,f,f,t
5008,t,f,f,t
5009,t,f,f,t
5010,f,f,f,f
5011,t,f,f,f
5012,t,f,f,f
5013,f,f,f,f
5014,f,f,f,f
5015,t,f,f,f
5021,f,f,f,f
5795,f,f,f,f
6565,f,f,f,f
6913,f,f,f,f
7721,t,t,f,t
7722,f,f,f,f
7723,f,f,f,f
7725,f,f,f,f
7727,t,t,f,f
7734,t,f,f,f
7735,t,t,t,f
7737,f,f,f,f
7739,f,t,f,f
8014,t,t,f,f
8661,t,t,f,f
8670,t,t,f,f
8672,t,t,f,f
8673,f,f,f,f
8674,f,t,f,f
8675,f,f,f,f
8685,f,f,f,f
8686,f,f,f,f
8687,f,f,f,f
9018,f,f,t,f
9039,f,f,f,f
9146,f,f,f,f
9432,f,f,f,f
230,f,f,f,f
323,,,,
655,t,f,f,f
656,f,f,f,f
817,t,f,f,f
821,f,f,t,f
1674,f,f,f,f
2149,f,f,f,f
2160,t,f,t,t
2161,f,f,f,f
2162,t,f,f,f
2960,f,f,f,f
2961,f,f,f,f
2962,f,f,f,f
2963,f,f,f,f
2964,f,f,f,f
2965,f,f,f,f
2966,t,t,f,f
2967,f,f,f,f
2968,f,f,f,f
2969,f,f,f,f
3745,f,f,f,f
3892,f,f,f,f
3893,f,f,f,f
3902,t,t,f,t
3903,t,t,f,t
3904,t,t,f,t
3905,f,f,f,f
4477,f,f,f,f
4478,t,f,f,f
4479,f,f,f,f
4480,f,f,f,f
4481,f,f,f,f
4749,f,f,f,f
4750,f,f,f,f
4751,f,f,f,f
4752,f,f,f,f
4753,f,f,f,f
5024,f,f,f,f
5025,f,f,f,f
6084,f,f,f,f
6085,f,f,f,f
6086,f,f,f,f
6087,t,f,f,t
6088,f,f,f,f
6089,f,f,f,f
6090,f,f,f,f
6715,f,f,f,f
6962,f,f,f,f
6964,t,f,f,f
7223,f,f,f,t
7224,f,f,f,f
7225,f,f,f,f
7226,f,f,f,f
7227,f,f,f,f
7660,f,f,f,f
8284,f,f,f,f
8288,f,f,f,f
8289,f,f,f,f
8410,f,f,f,f
8411,f,f,f,f
8412,t,f,f,f
8778,t,f,f,f
8825,f,f,f,f
8830,f,f,f,f
8831,f,f,f,f
8833,f,f,f,f
9119,f,f,f,f
9148,f,t,f,f
9149,t,t,f,f
9150,f,f,f,f
9151,f,t,t,f
9152,f,f,f,f
9406,t,t,f,f
9407,f,f,f,f
