id,cercafabricasindustria,cercaterminalesbuses,cercatalleresmecanica,contaminacionaire
7292,f,f,f,f
7732,f,f,f,f
7733,f,f,f,f
7736,f,f,f,f
7738,f,f,f,f
8017,f,f,f,f
8287,f,f,f,f
8413,f,f,f,f
8676,f,f,f,f
8679,f,f,f,f
8779,f,f,f,t
8832,f,f,f,f
9022,f,f,f,f
9037,f,f,f,f
9038,f,f,f,f
9040,f,f,f,f
9118,f,f,f,f
9364,t,f,f,f
9365,f,f,f,f
9404,f,f,f,f
9541,f,f,f,f
169,f,f,f,f
325,t,f,f,t
326,t,f,f,t
327,t,f,t,t
812,f,f,f,f
1003,f,f,f,f
1004,f,f,f,t
1005,f,f,t,t
1006,f,f,t,f
1066,f,f,f,f
1067,f,f,f,f
1068,f,f,t,f
1069,f,f,f,f
1070,f,f,f,f
1071,f,f,f,f
1072,f,f,f,f
1073,f,f,f,f
1074,f,f,f,f
1665,t,f,f,f
1666,f,f,f,t
1667,f,f,f,t
1668,f,f,f,f
1681,f,f,f,f
1682,f,f,f,t
1686,f,f,f,f
1687,f,f,f,f
1688,t,f,f,f
1689,t,f,f,f
1690,f,f,f,f
2136,f,f,f,f
2137,f,f,f,f
2711,f,f,t,t
2712,f,f,t,t
2721,f,f,f,f
2722,f,f,f,f
2723,f,f,f,f
2724,f,f,f,f
2954,f,f,f,f
2955,f,f,f,f
2956,f,f,f,f
2957,f,f,f,f
2958,f,f,f,t
2959,t,f,t,t
3891,f,f,t,t
3894,f,t,t,t
3895,f,f,f,t
3897,f,f,f,f
4289,f,f,f,f
5005,f,f,f,f
5006,f,f,t,t
5007,f,t,t,f
5008,f,t,t,f
5009,f,f,f,t
5010,t,f,f,t
5011,f,f,f,f
5012,t,f,f,t
5013,f,f,f,f
5014,f,f,f,f
5015,f,f,f,f
5021,f,f,f,f
5795,f,f,f,f
6565,f,f,f,f
6913,f,f,t,t
7721,f,f,t,f
7722,f,f,t,t
7723,f,f,t,f
7725,f,f,f,f
7727,f,f,f,f
7734,f,f,f,f
7735,f,f,t,f
7737,f,f,f,f
7739,f,f,f,f
8014,f,f,f,f
8661,t,f,f,f
8670,t,f,f,f
8672,f,f,t,f
8673,f,f,f,t
8674,f,f,f,t
8675,f,t,t,t
8685,f,f,f,t
8686,f,f,f,f
8687,f,f,f,f
9018,f,f,f,f
9039,t,f,t,t
9146,f,f,f,f
9432,f,f,f,f
230,f,f,f,f
323,f,f,f,f
655,f,f,f,f
656,f,f,f,f
817,f,f,f,f
821,f,f,f,t
1674,f,f,f,t
2149,t,f,t,t
2160,f,f,f,t
2161,t,f,f,t
2162,f,f,f,f
2960,f,f,f,t
2961,f,f,f,f
2962,f,f,f,f
2963,f,f,f,f
2964,f,f,f,f
2965,f,f,f,f
2966,f,f,f,f
2967,f,f,f,f
2968,t,f,f,f
